Candidato,Distrito,Lista,Pacto,Partido,votacion
CLAUDIO PATRICIO MONTERO ARRATIA,14,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1352
CONSTANTINO ZAFIROPULOS BOSSY,3,H,SUMEMOS,AMPLITUD,3460
COSME MELLADO PINO,16,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,8864
CRESCENCIO LOPEZ PEREZ,7,H,SUMEMOS,AMPLITUD,344
CRISTHIAN MOREIRA BARROS,13,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,18125
CRISTIAN BAEZA FIGUEROA,13,M,UNION PATRIOTICA,UNION PATRIOTICA,1045
CRISTIAN CUEVAS ZAMBRANO,20,G,FRENTE AMPLIO,HUMANISTA,7504
CRISTIAN GALLEGUILLOS VEGA,5,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,5373
CRISTIAN ALEJANDRO PALMA SANHUEZA,15,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1221
CRISTIAN ALFREDO ROJAS DONOSO,15,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,830
CRISTIAN ANTONIO QUIROZ REYES,19,B,POR TODO CHILE,PAIS,11905
CRISTIAN BOWEN GARFIAS,9,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,11954
CRISTIAN CAMPOS JARA,20,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,11178
CRISTIAN MARCELO DIAZ MUÃ‘OZ,13,B,POR TODO CHILE,PROGRESISTA,1555
CRISTINA GIRARDI LAVIN,9,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,16211
CRISTOBAL ACEVEDO FERRER,11,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,8248
CRISTOBAL LETURIA INFANTE,9,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,2754
CRISTOBAL MARDONES DIAZ,8,G,FRENTE AMPLIO,HUMANISTA,5000
CRISTOBAL MARTINEZ RAMIREZ,19,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,12830
CRISTOBAL URRUTICOECHEA RIOS,21,P,CHILE VAMOS,RENOVACION NACIONAL,22190
CYNTHIA LORENA BURGOS SANCHEZ,6,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,3559
DAMARIS ILIA HERNANDEZ MUÃ‘OZ,20,B,POR TODO CHILE,PAIS,813
DANIEL NUÃ‘EZ ARANCIBIA,5,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,15300
DANIEL VARGAS DOWNING,3,D,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,DE TRABAJADORES REVOLUCIONARIOS,1154
DANIEL ANGEL VERDESSI BELEMMI,6,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,11571
DANIEL ERNESTO ADARO SILVA,3,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,5252
DANIEL MELO CONTRERAS,13,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,17969
DANIELLA CICARDINI MILLA,4,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,16488
DANIELLA CORTES BAUER,5,G,FRENTE AMPLIO,IGUALDAD,2564
DANISA ASTUDILLO PEIRETTI,2,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,8435
DANN ALEJANDRO ESPINOZA POZO,7,G,FRENTE AMPLIO,INDEPENDIENTE PODER,3200
DAUNO TOTORO NAVARRO,10,R,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,7355
DAVID HENRIQUEZ ESPINOZA,12,B,POR TODO CHILE,PROGRESISTA,5477
DAVID MORALES NORDETTI,14,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,6640
DAVID ALEXIS SALDAÃ‘A VERGARA,14,B,POR TODO CHILE,PROGRESISTA,706
DAVID BLANCO URZUA,8,B,POR TODO CHILE,PROGRESISTA,1274
DENIS CORTES AGUILERA,5,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,8699
DENISSE GUERRA MARTINEZ,28,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,205
DENNY FLORES BUSTOS,14,M,UNION PATRIOTICA,UNION PATRIOTICA,843
DIEGO PAULSEN KEHR,22,P,CHILE VAMOS,RENOVACION NACIONAL,24405
DIEGO VILLAS MONTECINOS,9,G,FRENTE AMPLIO,IGUALDAD,2825
DIEGO EDUARDO CALDERON GAJARDO,14,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,6381
DIEGO IBAÃ‘EZ COTRONEO,6,G,FRENTE AMPLIO,HUMANISTA,9185
DIEGO SCHALPER SEPULVEDA,15,P,CHILE VAMOS,INDEPENDIENTE RENOVACION NACIONAL,19285
DIELA MARIA ALVAREZ ORTEGA,3,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,411
DOMINGO MONTECINOS OSSES,21,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1429
DOMINGO ANTONIO RUBILAR RUIZ,28,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,2479
DONNA HERRERA BARRERA,6,H,SUMEMOS,AMPLITUD,2511
DORIS GONZALEZ LEMUNAO,8,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,9820
EDDY ROLDAN CABRERA,9,R,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,14906
EDGAR MUÃ‘OZ RETAMALES,3,G,FRENTE AMPLIO,LIBERAL DE CHILE,1259
EDGARDO HUGO SEPULVEDA HACHIGUR,23,H,SUMEMOS,INDEPENDIENTE AMPLITUD,4159
EDITH ESTAY OLGUIN,6,M,UNION PATRIOTICA,UNION PATRIOTICA,1055
EDSON CHAVEZ SEVERINO,7,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,2664
EDUARDO DURAN SALINAS,13,P,CHILE VAMOS,RENOVACION NACIONAL,19744
EDUARDO ROMO LAFOY,27,H,SUMEMOS,INDEPENDIENTE TODOS,228
EDUARDO ANTONIO OCAMPO CASTILLO,26,G,FRENTE AMPLIO,INDEPENDIENTE ECOLOGISTA VERDE,4432
EDUARDO GUTIERREZ GONZALEZ,12,M,UNION PATRIOTICA,UNION PATRIOTICA,1387
EDUARDO JAVIER VERGARA BOLBARAN,15,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,7006
EDUARDO SALAS CERDA,24,P,CHILE VAMOS,REGIONALISTA INDEPENDIENTE,3340
ELENA ROJAS ALVARADO,17,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,2510
ELIANA MELENDEZ MOLINA,11,B,POR TODO CHILE,PROGRESISTA,921
ELIAS RAMOS MUÃ‘OZ,20,R,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,12702
ELIAS VISTOSO URRUTIA,17,P,CHILE VAMOS,EVOLUCION POLITICA,5951
ELISA CORTES ARAYA,5,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,1895
ELIZABETH ARMSTRONG GONZALEZ,6,H,SUMEMOS,AMPLITUD,1563
ELIZABETH MUJICA ZEPEDA,20,G,FRENTE AMPLIO,ECOLOGISTA VERDE,3937
ELSON BORQUEZ YAÃ‘EZ,27,K,COALICION REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,245
EMILIA IRIS NUYADO ANCAPICHUN,25,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,8149
EMMANUEL LARA ACEVEDO,15,M,UNION PATRIOTICA,UNION PATRIOTICA,848
ENRIQUE JARAMILLO ASTUDILLO,24,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,13504
ENRIQUE EDIS JARA RIVERA,19,G,FRENTE AMPLIO,IGUALDAD,2643
ENRIQUE LUIS ACCORSI OPAZO,11,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,10572
ENRIQUE VAN RYSSELBERGHE HERRERA,20,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,28757
ERICK MARCO ANTONIO COÃ‘OMAN GARAY,9,G,FRENTE AMPLIO,PODER,4882
ERIKA ANDREA GUAIQUIN GUAIQUIN,26,K,COALICION REGIONALISTA VERDE,INDEPENDIENTE DEMOCRACIA REGIONAL PATAGONICA,535
ERIKA MARIA CHAVEZ CONA,23,H,SUMEMOS,INDEPENDIENTE AMPLITUD,1388
ERIKA MUÃ‘OZ BRAVO,6,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,6137
ERIKA OLIVERA DE LA FUENTE,9,P,CHILE VAMOS,INDEPENDIENTE RENOVACION NACIONAL,30817
ERNESTINA SARMIENTO RIVERA,5,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,1340
ERNESTO JAVIER LAVANDERO PEREIRA,23,B,POR TODO CHILE,INDEPENDIENTE PAIS,869
ERNESTO VELASCO RODRIGUEZ,5,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,11929
ESTEBAN ZLATAR FRANULIC,3,K,COALICION REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,1229
ESTEBAN CACERES OLAVE,14,M,UNION PATRIOTICA,UNION PATRIOTICA,716
ESTEBAN JORGE VELASQUEZ NUÃ‘EZ,3,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,10067
EUDALDO HERNAN GONZALEZ MANRIQUEZ,18,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,587
EUGENIA MANCILLA MACIAS,28,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,3262
EVA JIMENEZ URIZAR,10,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,3913
EVARISTO RENE CURICAL Ã‘ANCO,22,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,4360
EVELYN DIANA GOMEZ HIDALGO,8,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE DEMOCRATA CRISTIANO,2257
FABIAN VASQUEZ SILVA,10,M,UNION PATRIOTICA,UNION PATRIOTICA,683
FABIOLA CRISTINA ASMAD REYES,4,O,CONVERGENCIA DEMOCRATICA,MAS REGION,305
FABIOLA ESCARLEN EWERT DAZA,4,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,530
FABIOLA PATRICIA LAGOS LIZAMA,20,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,5499
FANNY ESTHER ARAYA BAHAMONDE,19,B,POR TODO CHILE,PROGRESISTA,812
FELIPE CISTERNAS SOBARZO,18,P,CHILE VAMOS,RENOVACION NACIONAL,7403
FELIPE HERNANDEZ VIDAL,20,O,CONVERGENCIA DEMOCRATICA,MAS REGION,825
FELIPE FABIAN VALDEBENITO LEIVA,23,G,FRENTE AMPLIO,HUMANISTA,5315
FELIPE LETELIER NORAMBUENA,15,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,12402
FELIX GONZALEZ GATICA,20,G,FRENTE AMPLIO,ECOLOGISTA VERDE,18397
FERNANDO SAN ROMAN BASCUÃ‘AN,3,G,FRENTE AMPLIO,HUMANISTA,5729
FERNANDO ADILIO LEAL ARAVENA,17,B,POR TODO CHILE,PAIS,3154
FERNANDO ANDRES ENCINA WAISSBLUTH,11,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,2651
FERNANDO ANTINAO JELVES,20,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,3438
FERNANDO ATRIA LEMAITRE,11,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,16107
FERNANDO MEZA MONCADA,23,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,13696
FIDEL ESPINOZA SANDOVAL,25,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,27999
FIDEL RODRIGO CUETO ROSALES,6,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,6567
FILOMENA CARMEN URBINA CAMPOS,15,B,POR TODO CHILE,PROGRESISTA,1714
FLORCITA ALARCON ROJAS,17,G,FRENTE AMPLIO,HUMANISTA,6482
FRANCESCA FIGARI SCHENCK,5,P,CHILE VAMOS,INDEPENDIENTE RENOVACION NACIONAL,1716
FRANCESCA MUÃ‘OZ GONZALEZ,20,P,CHILE VAMOS,RENOVACION NACIONAL,23165
FRANCESCA PARODI OPPLIGER,20,P,CHILE VAMOS,EVOLUCION POLITICA,12371
FRANCISCA CHAHUAN GAJARDO,6,H,SUMEMOS,INDEPENDIENTE AMPLITUD,4434
FRANCISCA BASCUÃ‘AN PEÃ‘A,18,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,2328
FRANCISCO FIGUEROA CERDA,10,G,FRENTE AMPLIO,ECOLOGISTA VERDE,5793
FRANCISCO MUÃ‘OZ LE-BRETON,26,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,3194
FRANCISCO ALEJANDRO PARRAGUEZ LEIVA,15,O,CONVERGENCIA DEMOCRATICA,IZQUIERDA CIUDADANA DE CHILE,5706
FRANCISCO BUCAT OVIEDO,26,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,438
FRANCISCO EGUIGUREN CORREA,5,P,CHILE VAMOS,RENOVACION NACIONAL,11132
FRANCISCO ENRIQUE ALARCON NAVARRO,28,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,1315
FRANCISCO FLORES RIQUELME,9,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,3480
FRANCISCO JAVIER NUÃ‘EZ MARTINEZ,24,H,SUMEMOS,CIUDADANOS,439
FRANCISCO UNDURRAGA GAZITUA,11,P,CHILE VAMOS,EVOLUCION POLITICA,58666
FRANCISCO VALDES REYES,14,G,FRENTE AMPLIO,IGUALDAD,4395
FRANCYS FOIX FUENTEALBA,10,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,2228
FRANK SAUERBAUM MUÃ‘OZ,19,P,CHILE VAMOS,RENOVACION NACIONAL,18107
FREDDY CRISTIAN ANTILEF LEIVA,3,G,FRENTE AMPLIO,PODER,823
FREDDY MARCOS ARANEDA BARAHONA,2,R,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,3746
GABRIEL SILBER ROMO,8,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,29205
GABRIEL ARANGUIZ BALLESTEROS,6,B,POR TODO CHILE,PROGRESISTA,4203
GABRIEL BORIC FONT,28,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,18626
GABRIEL CABALLERO BERRIOS,5,H,SUMEMOS,INDEPENDIENTE AMPLITUD,407
GABRIEL ENRIQUE ALBISTUR GOMEZ,20,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE MAS REGION,2763
GABRIEL ESTEBAN BRAVO MUÃ‘OZ,13,G,FRENTE AMPLIO,IGUALDAD,3673
GABRIEL HECTOR ASCENCIO MANSILLA,26,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,9326
GABRIEL TORRES HERMOSILLA,20,P,CHILE VAMOS,RENOVACION NACIONAL,8434
GABRIELA TORRES PINCHEIRA,17,G,FRENTE AMPLIO,INDEPENDIENTE LIBERAL DE CHILE,1518
GABRIELA CARRASCO TOBAR,8,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,13782
GABRIELA MONSALVEZ ROJAS,2,P,CHILE VAMOS,REGIONALISTA INDEPENDIENTE,904
GAEL FERNANDA YEOMANS ARAYA,13,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,13721
GALIA AGUILERA CABALLERO,3,D,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,DE TRABAJADORES REVOLUCIONARIOS,1475
GASPAR ORTIZ CARDENAS,13,M,UNION PATRIOTICA,UNION PATRIOTICA,1020
GASTON SAAVEDRA CHANDIA,20,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,30557
GASTON VON MUHLENBROCK ZAMORA,24,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,12542
GENARO MALDONADO PALMA,17,B,POR TODO CHILE,PROGRESISTA,825
GEOCONDA NAVARRETE ARRATIA,27,P,CHILE VAMOS,EVOLUCION POLITICA,1471
GEORGINA MARIA VILLABLANCA MARTINEZ,13,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1952
GERMAN RODRIGO CARTES OYARZO,25,G,FRENTE AMPLIO,INDEPENDIENTE PODER,1913
GERMAN VERDUGO SOTO,17,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,14528
GIGLIOLA ELINA CENTONZIO ROSSEL,7,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,1255
GINA MARIA HIDALGO CANCINO,19,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,3696
GIORGIO JACKSON DRAGO,10,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,103523
GIOVANNI CALDERON BASSI,6,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,2873
GLADYS LORENA PALMA VALLEJOS,12,B,POR TODO CHILE,PROGRESISTA,2116
GLORIA ANGELICA GALLARDO VOSS,12,M,UNION PATRIOTICA,UNION PATRIOTICA,1347
GLORIA NAVEILLAN ARRIAGADA,22,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,1749
GLORIA PATRICIA GONZALEZ SAEZ,26,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,2730
GONZALO FUENZALIDA FIGUEROA,11,P,CHILE VAMOS,RENOVACION NACIONAL,60132
GONZALO MONTERO VIVEROS,17,P,CHILE VAMOS,RENOVACION NACIONAL,11383
GONZALO EDUARDO JARA ESPINOZA,18,H,SUMEMOS,CIUDADANOS,1247
GONZALO NAVARRETE MUÃ‘OZ,9,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,13322
GONZALO VALENZUELA OYARZO,26,B,POR TODO CHILE,PROGRESISTA,1923
GONZALO WINTER ETCHEBERRY,10,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,5237
GRACIELA FILOMENA ISLA PEREZ,15,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,2578
GRACIELA HAYDEE SUAREZ PEREZ,19,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1812
GRACIELA TORRES INOSTROZA,17,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1365
GREGORIO DE LA MAZA LARRAIN,22,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,6859
GREMIDIA ESTELA SAGARDIA ARIAS,8,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1156
GUIDO GONZALEZ VALENZUELA,9,M,UNION PATRIOTICA,UNION PATRIOTICA,1216
GUIDO MIRANDA ROJAS,15,M,UNION PATRIOTICA,UNION PATRIOTICA,916
GUILLERMO ARAVENA MONDACA,13,M,UNION PATRIOTICA,UNION PATRIOTICA,1707
GUILLERMO RAMIREZ DIEZ,11,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,30731
GUILLERMO ARTURO CERONI FUENTES,18,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,8319
GUILLERMO ISMAEL ALLENDE GONZALEZ,23,B,POR TODO CHILE,PAIS,2049
GUILLERMO JARAMILLO SALAZAR,22,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,7619
GUILLERMO TEILLIER DEL VALLE,13,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,28798
GUSTAVO ALESSANDRI BALMACEDA,6,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,9893
GUSTAVO SALVO PEREIRA,25,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE POR LA DEMOCRACIA,5427
GUSTAVO SANHUEZA DUEÃ‘AS,19,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,15680
HARRY ROBLEDO CORTES,3,H,SUMEMOS,AMPLITUD,562
HARRY JURGENSEN RUNDSHAGEN,25,P,CHILE VAMOS,RENOVACION NACIONAL,20531
HECTOR MERIDA CESPEDES,1,G,FRENTE AMPLIO,INDEPENDIENTE IGUALDAD,349
HECTOR TICUNA VILCA,2,H,SUMEMOS,AMPLITUD,758
HECTOR ALEJANDRO ZAMORA GARCIA,4,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1194
HECTOR HERMOGENES RIVEROS VIDAL,1,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,344
HECTOR LEONARDO AGUILERA MAYORGA,26,K,COALICION REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,848
HELGA NEUMANN CALISTO,28,P,CHILE VAMOS,EVOLUCION POLITICA,279
HENRY BERNARD VARAS CONCHA,17,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,1267
HENRY LEAL BIZAMA,23,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,11724
HERNAN JOSE MANUEL URRUTIA MILLAS,24,H,SUMEMOS,CIUDADANOS,799
