Candidato,Distrito,Lista,Pacto,Partido,votacion
MACARENA ALEJANDRA AGUSTO RODRIGUEZ,20,O,CONVERGENCIA DEMOCRATICA,MAS REGION,800
MACARENA ZAPATA MARMOLEJO,16,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE DEMOCRATA CRISTIANO,1243
MAGALLANES ESPINOSA BERTRAN,5,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,4478
MAITE ORSINI PASCAL,9,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,21814
MANUEL SANCHEZ LOYOLA,2,H,SUMEMOS,INDEPENDIENTE TODOS,432
MANUEL ANTONIO CARDENAS CANCINO,6,H,SUMEMOS,AMPLITUD,995
MANUEL DAVID LOPEZ CARTES,20,B,POR TODO CHILE,PROGRESISTA,1234
MANUEL EDUARDO BELLO NUÃ‘EZ,19,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,11114
MANUEL ENRIQUE MUÃ‘OZ PALACIOS,8,B,POR TODO CHILE,PROGRESISTA,2229
MANUEL JOSE MATTA ARAGAY,18,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,12825
MANUEL MONSALVE BENAVIDES,21,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,19632
MANUEL RIESCO LARRAIN,6,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,3237
MANUELA ALEJANDRA VELOSO DORNER,11,G,FRENTE AMPLIO,INDEPENDIENTE REVOLUCION DEMOCRATICA,6451
MARCELA SABAT FERNANDEZ,10,P,CHILE VAMOS,RENOVACION NACIONAL,54630
MARCELA ALEJANDRA GARRIDO ISLA,24,H,SUMEMOS,INDEPENDIENTE CIUDADANOS,561
MARCELA CANALES HIPP,12,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,4191
MARCELA GEOVANNA CONCHA VILLANUEVA,8,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE RADICAL SOCIALDEMOCRATA,4158
MARCELA GUTIERREZ GARCES,6,P,CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,3074
MARCELA SANDOVAL OSORIO,8,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,11927
MARCELA XIMENA HERNANDO PEREZ,3,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,14817
MARCELA YAÃ‘EZ BRAVO,11,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,987
MARCELO DIAZ DIAZ,7,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,15265
MARCELO RIOSECO PAIS,17,G,FRENTE AMPLIO,HUMANISTA,2358
MARCELO OMAR CHAVEZ VELASQUEZ,20,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,13853
MARCELO SCHILLING RODRIGUEZ,6,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,20072
MARCELO VERA PAVEZ,14,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1024
MARCELO ZARA PIZARRO,1,P,CHILE VAMOS,EVOLUCION POLITICA,3366
MARCIA GONZALEZ NAVARRO,14,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,3175
MARCIA ALEJANDRA SOTO DIAZ,13,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,3117
MARCIA ISABEL WALL TORO,19,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,862
MARCIA MILLAQUEO IBARRA,14,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1744
MARCIA TAPIA NAVIA,7,M,UNION PATRIOTICA,UNION PATRIOTICA,660
MARCOS ILABACA CERDA,24,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,15739
MARCOS ANDRES ESPINOSA MONARDES,3,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,6596
MARCOS ANTONIO MONTECINOS YAÃ‘EZ,7,B,POR TODO CHILE,PROGRESISTA,1606
MARGARITA LETELIER CORTES,19,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,14448
MARGARITA PEREZ VALDES,25,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,2085
MARGGORIE ZUMARAN OYANEDEL,6,B,POR TODO CHILE,PROGRESISTA,1378
MARIA ANGELICA ALVEAR MONTECINOS,24,G,FRENTE AMPLIO,HUMANISTA,1150
MARIA ANTONIETA ROJAS GONZALEZ,18,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,730
MARIA CAROLINA RIOS AYCAGUER,21,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,9672
MARIA EUGENIA PARRA TORO,8,M,UNION PATRIOTICA,UNION PATRIOTICA,835
MARIA GLADIS OYARZO ZUÃ‘IGA,26,B,POR TODO CHILE,PROGRESISTA,756
MARIA IGNACIA BUONO-CORE BARROILHET,25,H,SUMEMOS,INDEPENDIENTE TODOS,361
MARIA JOSE BECERRA MORO,12,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,5442
MARIA JOSE HOFFMANN OPAZO,7,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,34690
MARIA JOSE LEIVA JOPIA,8,G,FRENTE AMPLIO,ECOLOGISTA VERDE,17893
MARIA JOSE LEVICOI OVANDO,25,K,COALICION REGIONALISTA VERDE,INDEPENDIENTE DEMOCRACIA REGIONAL PATAGONICA,257
MARIA JOSE RUBILAR ESCANDON,19,H,SUMEMOS,AMPLITUD,783
MARIA LORETO CARVAJAL AMBIADO,19,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,12734
MARIA MAGDALENA GONZALEZ REBOLLEDO,20,H,SUMEMOS,AMPLITUD,833
MARIA MARGARITA CRESPO URETA,15,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,3901
MARIA ORIANA PEREZ BAEZ,26,H,SUMEMOS,CIUDADANOS,321
MARIA PATRICIA PASCUALES GUTIERREZ,26,K,COALICION REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,606
MARIA SOLEDAD CASTILLO HENRIQUEZ,22,P,CHILE VAMOS,RENOVACION NACIONAL,1102
MARIA TERESA ALVAREZ AGUILAR,8,G,FRENTE AMPLIO,INDEPENDIENTE PODER,5919
MARIA TERESA HUALA MOLINA,16,G,FRENTE AMPLIO,INDEPENDIENTE REVOLUCION DEMOCRATICA,1443
MARIA TERESA LAVIN ALIAGA,12,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,4482
MARIA VERONICA SAAVEDRA HENRIQUEZ,18,B,POR TODO CHILE,PROGRESISTA,843
MARIANA CONCHA MUÃ‘OZ,15,M,UNION PATRIOTICA,UNION PATRIOTICA,421
MARIANELA HUENCHOR HUENCHOR,25,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,2283
MARIANELLA BENAVIDES CARDENAS,6,G,FRENTE AMPLIO,HUMANISTA,8537
MARIBEL MARTINEZ LOPEZ,12,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1464
MARIEL FERNANDA TRIGO VALLEJOS,7,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE DEMOCRATA CRISTIANO,1606
MARIELA BASUALTO AVALOS,2,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,2588
MARIELLA VALDES AVILA,7,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,4823
MARIO DESBORDES JIMENEZ,8,P,CHILE VAMOS,RENOVACION NACIONAL,17799
MARIO GEBAUER BRINGAS,14,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,9812
MARIO RIVAS SILVA,4,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,3795
MARIO SOTO BENAVIDES,7,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE POR LA DEMOCRACIA,2386
MARIO VARAS PIZARRO,4,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,1304
MARIO ALEJANDRO JARA ESCOBAR,20,B,POR TODO CHILE,PROGRESISTA,1499
MARIO ARTIDORO VENEGAS CARDENAS,22,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,14991
MARIO ENRIQUE ESQUIVEL LIZONDO,28,K,COALICION REGIONALISTA VERDE,INDEPENDIENTE DEMOCRACIA REGIONAL PATAGONICA,929
MARIO FAJARDO PEREZ,14,M,UNION PATRIOTICA,UNION PATRIOTICA,742
MARIO FRANCISCO PEREZ NAVARRO,6,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,5606
MARIO HERNAN GONZALEZ REBOLLEDO,23,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,4644
MARIO LUIS FUENTES ROMERO,6,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,8009
MARISELA SANTIBAÃ‘EZ NOVOA,14,B,POR TODO CHILE,PROGRESISTA,35984
MARISOL CESPEDES AGUIRRE,5,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,2950
MARISOL LUSDEMIA PINILLA VEJAR,27,H,SUMEMOS,CIUDADANOS,297
MARISOL MARTINEZ SANCHEZ,27,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,3106
MARISOL ROZAS VALENZUELA,23,P,CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,1817
MARISOL TURRES FIGUEROA,26,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,7271
MARLA GLADYS VARGAS OJEDA,28,K,COALICION REGIONALISTA VERDE,INDEPENDIENTE DEMOCRACIA REGIONAL PATAGONICA,310
MARLENE GUZMAN KRAMER,21,P,CHILE VAMOS,RENOVACION NACIONAL,5720
MARLYN MAGDALENA LEUPIN FERNANDEZ,24,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE DEMOCRATA CRISTIANO,589
MARVA VARGAS ALVARADO,26,H,SUMEMOS,INDEPENDIENTE TODOS,389
MATIAS WALKER PRIETO,5,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,15468
MAURICIO RIFFO MENDEZ,6,M,UNION PATRIOTICA,UNION PATRIOTICA,2121
MAURICIO SALGADO ROJAS,20,H,SUMEMOS,AMPLITUD,712
MAURICIO ALEJANDRO CARRASCO NUÃ‘EZ,13,G,FRENTE AMPLIO,INDEPENDIENTE ECOLOGISTA VERDE,9480
MAURICIO ALVAREZ SEPULVEDA,8,M,UNION PATRIOTICA,UNION PATRIOTICA,1125
MAURICIO ANDRES AGUILERA MUÃ‘OZ,17,H,SUMEMOS,CIUDADANOS,1283
MAURICIO ANTONIO SANTANDER VIDELA,8,B,POR TODO CHILE,PROGRESISTA,2403
MAURICIO BOZA GONZALEZ,16,P,CHILE VAMOS,RENOVACION NACIONAL,5941
MAURICIO EDUARDO LILLO CAVAGNARO,7,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE DEMOCRATA CRISTIANO,1549
MAURICIO GONZALO PEREZ DURAN,20,G,FRENTE AMPLIO,IGUALDAD,1834
MAURICIO JAVIER ABU-GHOSH PARHAM,11,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE COMUNISTA DE CHILE,2664
MAYA FERNANDEZ ALLENDE,10,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,28437
MELISSA ESTEFANIA VARAS MONTERO,12,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,955
MICHAEL GABRIEL GUERRA MUÃ‘OZ,8,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1606
MICHELLE ZUNINO PALACIOS,12,P,CHILE VAMOS,INDEPENDIENTE RENOVACION NACIONAL,6040
MIGUEL CRISPI SERRANO,12,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,25569
MIGUEL MELLADO SUAZO,23,P,CHILE VAMOS,RENOVACION NACIONAL,13708
MIGUEL ALFREDO ROCHA SARMIENTO,2,G,FRENTE AMPLIO,PODER,869
MIGUEL ANGEL ALVARADO RAMIREZ,5,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,7330
MIGUEL ANGEL CALISTO AGUILA,27,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,8822
MIGUEL ANGEL PALTA SARMIENTO,21,B,POR TODO CHILE,PROGRESISTA,2277
MIGUEL ANGEL PEZO MORALES,20,H,SUMEMOS,AMPLITUD,697
MIGUEL ANGEL RENDON ESCOBAR,11,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1233
MIGUEL ARREDONDO ORELLANA,25,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,5309
MIJAIL BONITO LOVIO,9,P,CHILE VAMOS,EVOLUCION POLITICA,4032
MILKO CARACCIOLO SOTO,7,G,FRENTE AMPLIO,IGUALDAD,8513
MIRIAM CAROLINA GONZALEZ BERNAL,3,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE IZQUIERDA CIUDADANA DE CHILE,606
MIRIAM DEL CARMEN BAZAEZ GUERRA,8,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,3690
MORIN CONTRERAS CONCHA,16,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,2460
MYLA ETELVINA CHAVEZ FAJARDO,2,B,POR TODO CHILE,INDEPENDIENTE PAIS,843
MYRNA SEPULVEDA ZAMUDIO,7,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1586
MYRTHA CARMEN PERALTA VEGAS,24,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1688
NANCY LANZARINI WALKER,3,D,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,DE TRABAJADORES REVOLUCIONARIOS,1098
NATALIA GARRIDO TORO,11,G,FRENTE AMPLIO,IGUALDAD,4959
NATALIA ALEJANDRA VILLALOBOS CAMPOS,18,G,FRENTE AMPLIO,HUMANISTA,1903
NATALIA CASTILLO MUÃ‘OZ,10,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,4453
NATALY ROJAS SEGUEL,17,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,4565
NATAN OLIVOS NUÃ‘EZ,2,P,CHILE VAMOS,EVOLUCION POLITICA,693
NELLY GALEB BOU,4,P,CHILE VAMOS,RENOVACION NACIONAL,2019
NELSON GUZMAN CACERES,26,H,SUMEMOS,TODOS,319
NELSON HADAD HERESY,11,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,3605
NELSON RODRIGO GALVEZ PEREZ,5,G,FRENTE AMPLIO,INDEPENDIENTE REVOLUCION DEMOCRATICA,3726
NESTOR MERA MUÃ‘OZ,27,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,3757
NESTOR VERA ROJAS,3,D,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,DE TRABAJADORES REVOLUCIONARIOS,934
NIBALDO GABRIEL PINTO SILVA,6,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1451
NICOLA HADWA SHAHWAN,7,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1944
NICOLAS COGLER GALINDO,28,P,CHILE VAMOS,RENOVACION NACIONAL,4810
NICOLAS MENARE MORALES,11,B,POR TODO CHILE,PROGRESISTA,1684
NICOLAS MUÃ‘OZ MONTES,10,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,5085
NICOLAS NOMAN GARRIDO,4,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,5974
NICOLE VANESSA VALDEBENITO TORRES,12,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,7264
NICOLL ADRIANA ROJAS LABRA,7,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,959
NIDIA MILLA IRARRAZABAL,5,H,SUMEMOS,AMPLITUD,323
NILLS MARY CID CACERES,23,B,POR TODO CHILE,PROGRESISTA,562
NILZA MARCELA ROJAS ESCHMANN,16,B,POR TODO CHILE,PROGRESISTA,708
NINO BALTOLU RASERA,1,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,9272
NINOZKA SANCHEZ CARO,10,M,UNION PATRIOTICA,UNION PATRIOTICA,438
OLGA GONZALEZ DEL RIEGO GARCIA,12,P,CHILE VAMOS,RENOVACION NACIONAL,6825
ORIETA GONZALEZ MATURANA,26,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,461
OSCAR AVILA MENDEZ,15,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,7075
OSCAR CABRERA ORTIZ,21,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,3394
OSCAR ANDRES ARANCIBIA ARANCIBIA,6,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1745
OSCAR FELIPE VARGAS COLOMA,13,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1926
OSCAR PATRICIO MACIAS MACIAS,26,B,POR TODO CHILE,PROGRESISTA,595
OSCAR SANDRINO LEIVA GONZALEZ,24,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE DEMOCRATA CRISTIANO,1482
OSVALDO ANDRADE LARA,12,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,12252
OSVALDO URRUTIA SOTO,7,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,18198
PABLINA MELLA DIAZ,12,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1003
PABLO GALDAMES DIAZ,8,P,CHILE VAMOS,INDEPENDIENTE REGIONALISTA INDEPENDIENTE,7293
PABLO PRIETO LORCA,17,P,CHILE VAMOS,INDEPENDIENTE RENOVACION NACIONAL,14338
PABLO TERRAZAS LAGOS,11,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,25482
PABLO ALEJANDRO HERRERA MONARDES,3,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,3619
PABLO ALEXIS PADILLA RUBIO,9,G,FRENTE AMPLIO,INDEPENDIENTE REVOLUCION DEMOCRATICA,4131
PABLO ANDRES MOYA NUÃ‘EZ,24,B,POR TODO CHILE,PROGRESISTA,1799
PABLO CAROCA VASQUEZ,15,M,UNION PATRIOTICA,UNION PATRIOTICA,610
PABLO FRANCISCO GONZALEZ VERA,9,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1783
PABLO GUTIERREZ PAREJA,18,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,10982
PABLO KAST SOMMERHOFF,6,P,CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,28465
PABLO LORENZINI BASSO,17,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,19884
PABLO ORNALDO VALENZUELA HUANCA,2,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,781
PABLO PRADO PULIDO,11,M,UNION PATRIOTICA,UNION PATRIOTICA,549
PABLO RECABAL MATURANA,6,M,UNION PATRIOTICA,UNION PATRIOTICA,1059
PABLO TOLOZA FERNANDEZ,3,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,3528
PABLO VIDAL ROJAS,8,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,12135
PAMELA ALEJANDRA GARCES ZUÃ‘IGA,23,B,POR TODO CHILE,INDEPENDIENTE PAIS,1229
PAMELA ANDREA VALENZUELA CASTILLO,17,B,POR TODO CHILE,INDEPENDIENTE PAIS,1709
PAMELA BEATRIZ LEAL GATICA,25,G,FRENTE AMPLIO,PODER,3159
PAMELA JILES MORENO,12,G,FRENTE AMPLIO,HUMANISTA,45222
PAMELA MEDINA SCHULZ,15,P,CHILE VAMOS,INDEPENDIENTE RENOVACION NACIONAL,10857
PAMELA SOLEDAD OVALLE QUIROZ,22,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,1424
PAOLA MARCELLI ASTUDILLO,8,M,UNION PATRIOTICA,UNION PATRIOTICA,1247
PAOLA ALEJANDRA SANTIBAÃ‘EZ RIFFO,23,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,906
PAOLA ANDREA CABEZAS ZUÃ‘IGA,18,H,SUMEMOS,INDEPENDIENTE CIUDADANOS,2711
PAOLA ANDREA HIGUERAS LABRA,3,H,SUMEMOS,AMPLITUD,952
PAOLA DEL CARMEN BUSTOS MATUS,20,O,CONVERGENCIA DEMOCRATICA,MAS REGION,2462
PASTORA ANTONIETA VALDERRAMA VASQUEZ,7,H,SUMEMOS,AMPLITUD,831
PATRICIA AGUIRRE GONZALEZ,5,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,2996
PATRICIA ANDREA IBACETA SANTOS,16,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1063
PATRICIA ANITA COCAS GONZALEZ,11,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE POR LA DEMOCRACIA,2401
PATRICIA ELENA VALENZUELA SANDOVAL,10,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,863
PATRICIA ERIKA ALVAREZ OLAVE,4,G,FRENTE AMPLIO,INDEPENDIENTE PODER,816
PATRICIA MARTINEZ TORRES,24,P,CHILE VAMOS,INDEPENDIENTE REGIONALISTA INDEPENDIENTE,1881
